s1,47.513697,-121.918470,500
s2,42.876393,-121.256638,1600
s3,38.560823,-122.343907,150
s4,35.258213,-120.343332,450
s5,33.447587,-116.516313,400
s6,45.123032,-115.177440,2000
s7,39.303821,-116.892871,2000
s8,36.900750,-116.307114,1550
s9,34.935665,-112.792571,1000
s10,44.589168,-107.688116,1450
s11,40.044269,-109.744803,2400
s12,34.329746,-108.359296,1650
s13,46.283041,-99.416479,550
s14,39.851147,-102.943224,1650
s15,36.889365,-105.042477,2050
s16,33.808066,-102.523373,1150
s17,44.033436,-97.905017,600
s18,39.495675,-97.023331,450
s19,36.620257,-99.080599,450
s20,32.576047,-95.736558,250
s21,30.025973,-98.464685,250
s22,42.476218,-88.418758,250
s23,40.967120,-92.141849,300
s24,36.668210,-89.734678,150
s25,33.597883,-92.334423,100
s26,39.645486,-87.905228,250
s27,37.048159,-86.519134,300
s30,44.413249,-74.973580,100
s31,41.391860,-80.945418,250
s32,39.155473,-79.932015,400
s33,35.472337,-82.356944,550
s37,42.093978,-71.281897,150
s38,41.283160,-74.684036,150
s39,37.048159,-77.905209,150
s34,33.261850,-83.949434,200
s35,30.058703,-82.103593,50
s36,25.590992,-80.874360,50
